试验ID：1
试验名称：金属材料室温拉伸试验
批号: /	
编号: /	
材质: /	
规格: /	
试验日期: 2021/10/20	
形状: 圆材	
标距倍率: 0	
尺寸1: 0.0	
尺寸2: 0.0	
尺寸3: 0.0	
试样尺寸: 0	
面积: 0.0	
原始标距: 50.0	
引伸计标距: 50.0	
平行长度: 50.0	
试验温度: 20.0	
试验人: /	
断后标距: 0	
断后面积: 0	
上屈服力: 3.064	
上屈服强度: 31	
下屈服力: 2.528	
下屈服强度: 25	
规定非比例延伸力: 0	
规定非比例延伸强度: 0	
规定非比例延伸力1: 0	
规定非比例延伸强度1: 0	
规定总延伸力: 0	
规定总延伸强度: 0	
最大力: 6.440	
抗拉强度: 64	
最大力非比例伸长率: 0	
最大力总伸长率: 0	
断后伸长率: 0	
断裂总伸长率: 0	
断面收缩率: 0	
屈服点延伸率: 0	
弹性模量: 657.76	
屈强比: 0.39	
强屈比: 2.56	
屈屈比: 0.125	
自定义1: 0	
自定义2: 0	
自定义3: 0	
自定义4: 0	

=========================曲线数据==========================
数据量：13547
试验力			变形1			变形2			变形3			位移			位移1			位移2			位移3			位移4			应力			应变			时间
0.5700		-0.0004		-0.0002		0.0002		0.1151		-0.0200		-0.0703		-0.0000		-0.0000		5.7000		-0.0008		3.4600
0.5700		-0.0004		-0.0002		0.0002		0.1151		-0.0200		-0.0703		-0.0000		-0.0000		5.7000		-0.0008		3.4800
0.5790		-0.0004		-0.0002		0.0002		0.1164		-0.0301		-0.0703		-0.0000		-0.0000		5.7900		-0.0008		3.5000
0.5790		-0.0004		-0.0002		0.0002		0.1164		-0.0301		-0.0703		-0.0000		-0.0000		5.7900		-0.0008		3.5200
0.5880		-0.0006		-0.0004		0.0002		0.1176		-0.0301		-0.0703		-0.0000		-0.0000		5.8800		-0.0012		3.5400
0.5880		-0.0006		-0.0004		0.0002		0.1176		-0.0301		-0.0703		-0.0000		-0.0000		5.8800		-0.0012		3.5600
0.5960		-0.0009		-0.0004		0.0002		0.1188		-0.0301		-0.0703		-0.0000		-0.0000		5.9600		-0.0018		3.5800
0.5960		-0.0009		-0.0004		0.0002		0.1188		-0.0301		-0.0703		-0.0000		-0.0000		5.9600		-0.0018		3.6000
0.6050		-0.0009		-0.0004		0.0000		0.1200		-0.0301		-0.0703		-0.0000		-0.0000		6.0500		-0.0018		3.6200
0.6050		-0.0009		-0.0004		0.0000		0.1212		-0.0301		-0.0703		-0.0000		-0.0000		6.0500		-0.0018		3.6400
0.6130		-0.0009		-0.0004		0.0000		0.1212		-0.0301		-0.0703		-0.0000		-0.0000		6.1300		-0.0018		3.6600
0.6130		-0.0009		-0.0004		0.0000		0.1224		-0.0301		-0.0703		-0.0000		-0.0000		6.1300		-0.0018		3.6800
0.6220		-0.0008		-0.0004		0.0000		0.1224		-0.0301		-0.0703		-0.0000		-0.0000		6.2200		-0.0016		3.7000
0.6220		-0.0008		-0.0004		0.0000		0.1236		-0.0301		-0.0703		-0.0000		-0.0000		6.2200		-0.0016		3.7200
0.6310		-0.0008		-0.0004		0.0000		0.1236		-0.0301		-0.0703		-0.0000		-0.0000		6.3100		-0.0016		3.7400
0.6310		-0.0008		-0.0004		0.0000		0.1248		-0.0301		-0.0703		-0.0000		-0.0000		6.3100		-0.0016		3.7600
0.6400		-0.0006		-0.0004		-0.0002		0.1260		-0.0301		-0.0703		-0.0000		-0.0000		6.4000		-0.0012		3.7800
0.6400		-0.0006		-0.0004		-0.0002		0.1260		-0.0301		-0.0703		-0.0000		-0.0000		6.4000		-0.0012		3.8000
0.6480		-0.0005		-0.0004		-0.0002		0.1273		-0.0301		-0.0703		-0.0000		-0.0000		6.4800		-0.0010		3.8200
0.6480		-0.0005		-0.0004		-0.0002		0.1273		-0.0301		-0.0703		-0.0000		-0.0000		6.4800		-0.0010		3.8400
0.6570		-0.0004		-0.0004		-0.0002		0.1285		-0.0301		-0.0703		-0.0000		-0.0000		6.5700		-0.0008		3.8600
0.6570		-0.0004		-0.0004		-0.0002		0.1285		-0.0301		-0.0703		-0.0000		-0.0000		6.5700		-0.0008		3.8800
0.6660		-0.0002		-0.0004		-0.0004		0.1297		-0.0301		-0.0703		-0.0000		-0.0000		6.6600		-0.0004		3.9000
0.6660		-0.0002		-0.0004		-0.0004		0.1297		-0.0301		-0.0703		-0.0000		-0.0000		6.6600		-0.0004		3.9200
0.6760		0.0000		-0.0004		-0.0004		0.1309		-0.0301		-0.0703		-0.0000		-0.0000		6.7600		0.0000		3.9400
0.6760		0.0000		-0.0004		-0.0004		0.1309		-0.0301		-0.0703		-0.0000		-0.0000		6.7600		0.0000		3.9600
0.6840		0.0001		-0.0004		-0.0004		0.1321		-0.0301		-0.0703		-0.0000		-0.0000		6.8400		0.0002		3.9800
0.6840		0.0001		-0.0004		-0.0004		0.1321		-0.0301		-0.0803		-0.0000		-0.0000		6.8400		0.0002		4.0000
0.6930		0.0003		-0.0004		-0.0004		0.1333		-0.0301		-0.0803		-0.0000		-0.0000		6.9300		0.0006		4.0200
0.6930		0.0003		-0.0004		-0.0004		0.1345		-0.0301		-0.0803		-0.0000		-0.0000		6.9300		0.0006		4.0400
0.7020		0.0004		-0.0004		-0.0004		0.1345		-0.0301		-0.0803		-0.0000		-0.0000		7.0200		0.0008		4.0600
0.7020		0.0004		-0.0004		-0.0004		0.1357		-0.0301		-0.0803		-0.0000		-0.0000		7.0200		0.0008		4.0800
0.7110		0.0005		-0.0004		-0.0004		0.1357		-0.0301		-0.0803		-0.0000		-0.0000		7.1100		0.0010		4.1000
0.7110		0.0005		-0.0004		-0.0004		0.1370		-0.0301		-0.0803		-0.0000		-0.0000		7.1100		0.0010		4.1200
0.7210		0.0007		-0.0004		-0.0004		0.1370		-0.0301		-0.0803		-0.0000		-0.0000		7.2100		0.0014		4.1400
0.7210		0.0007		-0.0004		-0.0004		0.1382		-0.0301		-0.0803		-0.0000		-0.0000		7.2100		0.0014		4.1600
0.7310		0.0007		-0.0004		-0.0004		0.1394		-0.0401		-0.0803		-0.0000		-0.0000		7.3100		0.0014		4.1800
0.7310		0.0007		-0.0004		-0.0004		0.1394		-0.0401		-0.0803		-0.0000		-0.0000		7.3100		0.0014		4.2000
0.7390		0.0004		-0.0004		-0.0004		0.1406		-0.0401		-0.0803		-0.0000		-0.0000		7.3900		0.0008		4.2200
0.7390		0.0004		-0.0004		-0.0004		0.1406		-0.0401		-0.0803		-0.0000		-0.0000		7.3900		0.0008		4.2400
0.7490		0.0001		-0.0004		-0.0004		0.1418		-0.0401		-0.0803		-0.0000		-0.0000		7.4900		0.0002		4.2600
0.7490		0.0001		-0.0004		-0.0004		0.1418		-0.0401		-0.0803		-0.0000		-0.0000		7.4900		0.0002		4.2800
0.7590		0.0000		-0.0004		-0.0004		0.1430		-0.0401		-0.0803		-0.0000		-0.0000		7.5900		0.0000		4.3000
0.7590		0.0000		-0.0004		-0.0004		0.1430		-0.0401		-0.0803		-0.0000		-0.0000		7.5900		0.0000		4.3200
0.7680		0.0000		-0.0004		-0.0004		0.1442		-0.0401		-0.0803		-0.0000		-0.0000		7.6800		0.0000		4.3400
0.7680		0.0000		-0.0004		-0.0004		0.1442		-0.0401		-0.0803		-0.0000		-0.0000		7.6800		0.0000		4.3600
0.7770		-0.0001		-0.0004		-0.0004		0.1454		-0.0401		-0.0803		-0.0000		-0.0000		7.7700		-0.0002		4.3800
0.7770		-0.0001		-0.0004		-0.0004		0.1454		-0.0401		-0.0803		-0.0000		-0.0000		7.7700		-0.0002		4.4000
0.7860		-0.0001		-0.0004		-0.0004		0.1467		-0.0401		-0.0803		-0.0000		-0.0000		7.8600		-0.0002		4.4200
0.7860		-0.0001		-0.0004		-0.0004		0.1479		-0.0401		-0.0803		-0.0000		-0.0000		7.8600		-0.0002		4.4400
0.7960		-0.0002		-0.0008		-0.0004		0.1479		-0.0401		-0.0803		-0.0000		-0.0000		7.9600		-0.0004		4.4600
0.7960		-0.0002		-0.0008		-0.0004		0.1491		-0.0401		-0.0803		-0.0000		-0.0000		7.9600		-0.0004		4.4800
0.8050		-0.0004		-0.0008		-0.0004		0.1491		-0.0401		-0.0803		-0.0000		-0.0000		8.0500		-0.0008		4.5000
0.8050		-0.0004		-0.0008		-0.0004		0.1503		-0.0401		-0.0803		-0.0000		-0.0000		8.0500		-0.0008		4.5200
0.8150		-0.0008		-0.0008		-0.0004		0.1503		-0.0401		-0.0803		-0.0000		-0.0000		8.1500		-0.0016		4.5400
0.8150		-0.0008		-0.0008		-0.0004		0.1515		-0.0401		-0.0803		-0.0000		-0.0000		8.1500		-0.0016		4.5600
0.8240		-0.0011		-0.0008		-0.0004		0.1527		-0.0401		-0.0803		-0.0000		-0.0000		8.2400		-0.0022		4.5800
0.8240		-0.0011		-0.0008		-0.0004		0.1527		-0.0401		-0.0803		-0.0000		-0.0000		8.2400		-0.0022		4.6000
0.8330		-0.0013		-0.0008		-0.0004		0.1539		-0.0401		-0.0803		-0.0000		-0.0000		8.3300		-0.0026		4.6200
0.8330		-0.0013		-0.0008		-0.0004		0.1539		-0.0401		-0.0803		-0.0000		-0.0000		8.3300		-0.0026		4.6400
0.8430		-0.0016		-0.0008		-0.0004		0.1551		-0.0401		-0.0803		-0.0000		-0.0000		8.4300		-0.0032		4.6600
0.8430		-0.0016		-0.0008		-0.0004		0.1551		-0.0401		-0.0803		-0.0000		-0.0000		8.4300		-0.0032		4.6800
0.8530		-0.0018		-0.0008		-0.0004		0.1563		-0.0401		-0.0803		-0.0000		-0.0000		8.5300		-0.0036		4.7000
0.8530		-0.0018		-0.0008		-0.0004		0.1563		-0.0401		-0.0803		-0.0000		-0.0000		8.5300		-0.0036		4.7200
0.8630		-0.0016		-0.0008		-0.0004		0.1576		-0.0401		-0.0803		-0.0000		-0.0000		8.6300		-0.0032		4.7400
0.8630		-0.0016		-0.0008		-0.0004		0.1576		-0.0401		-0.0803		-0.0000		-0.0000		8.6300		-0.0032		4.7600
0.8730		-0.0015		-0.0004		-0.0004		0.1588		-0.0401		-0.0803		-0.0000		-0.0000		8.7300		-0.0030		4.7800
0.8730		-0.0015		-0.0004		-0.0004		0.1588		-0.0501		-0.0803		-0.0000		-0.0000		8.7300		-0.0030		4.8000
0.8820		-0.0013		-0.0004		-0.0002		0.1600		-0.0501		-0.0803		-0.0000		-0.0000		8.8200		-0.0026		4.8200
0.8820		-0.0013		-0.0004		-0.0002		0.1612		-0.0501		-0.0803		-0.0000		-0.0000		8.8200		-0.0026		4.8400
0.8920		-0.0011		-0.0004		-0.0002		0.1612		-0.0501		-0.0803		-0.0000		-0.0000		8.9200		-0.0022		4.8600
0.8920		-0.0011		-0.0004		-0.0002		0.1624		-0.0501		-0.0803		-0.0000		-0.0000		8.9200		-0.0022		4.8800
0.9020		-0.0011		-0.0004		-0.0002		0.1624		-0.0501		-0.0803		-0.0000		-0.0000		9.0200		-0.0022		4.9000
0.9020		-0.0011		-0.0004		-0.0002		0.1636		-0.0501		-0.0803		-0.0000		-0.0000		9.0200		-0.0022		4.9200
0.9120		-0.0013		-0.0004		-0.0004		0.1636		-0.0501		-0.0803		-0.0000		-0.0000		9.1200		-0.0026		4.9400
0.9120		-0.0013		-0.0004		-0.0004		0.1648		-0.0501		-0.0803		-0.0000		-0.0000		9.1200		-0.0026		4.9600
0.9220		-0.0013		-0.0004		-0.0004		0.1648		-0.0501		-0.0803		-0.0000		-0.0000		9.2200		-0.0026		4.9800
0.9220		-0.0013		-0.0004		-0.0004		0.1660		-0.0501		-0.0803		-0.0000		-0.0000		9.2200		-0.0026		5.0000
0.9310		-0.0013		-0.0004		-0.0004		0.1673		-0.0501		-0.0803		-0.0000		-0.0000		9.3100		-0.0026		5.0200
0.9310		-0.0013		-0.0004		-0.0004		0.1673		-0.0501		-0.0803		-0.0000		-0.0000		9.3100		-0.0026		5.0400
0.9410		-0.0013		-0.0004		-0.0004		0.1685		-0.0501		-0.0803		-0.0000		-0.0000		9.4100		-0.0026		5.0600
0.9410		-0.0013		-0.0004		-0.0004		0.1685		-0.0501		-0.0803		-0.0000		-0.0000		9.4100		-0.0026		5.0800
0.9520		-0.0011		-0.0004		-0.0008		0.1697		-0.0501		-0.0803		-0.0000		-0.0000		9.5200		-0.0022		5.1000
0.9520		-0.0011		-0.0004		-0.0008		0.1697		-0.0501		-0.0803		-0.0000		-0.0000		9.5200		-0.0022		5.1200
0.9630		-0.0009		-0.0004		-0.0008		0.1709		-0.0501		-0.0803		-0.0000		-0.0000		9.6300		-0.0018		5.1400
0.9630		-0.0009		-0.0004		-0.0008		0.1709		-0.0501		-0.0803		-0.0000		-0.0000		9.6300		-0.0018		5.1600
0.9720		-0.0006		-0.0004		-0.0008		0.1721		-0.0501		-0.0803		-0.0000		-0.0000		9.7200		-0.0012		5.1800
0.9720		-0.0006		-0.0004		-0.0008		0.1721		-0.0501		-0.0803		-0.0000		-0.0000		9.7200		-0.0012		5.2000
0.9830		-0.0004		-0.0004		-0.0008		0.1733		-0.0501		-0.0803		-0.0000		-0.0000		9.8300		-0.0008		5.2200
0.9830		-0.0004		-0.0004		-0.0008		0.1733		-0.0501		-0.0803		-0.0000		-0.0000		9.8300		-0.0008		5.2400
0.9940		-0.0004		-0.0004		-0.0008		0.1745		-0.0501		-0.0803		-0.0000		-0.0000		9.9400		-0.0008		5.2600
0.9940		-0.0004		-0.0004		-0.0008		0.1757		-0.0501		-0.0803		-0.0000		-0.0000		9.9400		-0.0008		5.2800
1.0050		-0.0004		-0.0004		-0.0008		0.1757		-0.0501		-0.0803		-0.0000		-0.0000		10.0500		-0.0008		5.3000
1.0050		-0.0004		-0.0004		-0.0008		0.1770		-0.0501		-0.0803		-0.0000		-0.0000		10.0500		-0.0008		5.3200
1.0160		-0.0004		-0.0004		-0.0008		0.1770		-0.0601		-0.0803		-0.0000		-0.0000		10.1600		-0.0008		5.3400
1.0160		-0.0004		-0.0004		-0.0008		0.1782		-0.0601		-0.0903		-0.0000		-0.0000		10.1600		-0.0008		5.3600
1.0270		-0.0004		-0.0004		-0.0010		0.1782		-0.0601		-0.0903		-0.0000		-0.0000		10.2700		-0.0008		5.3800
1.0270		-0.0004		-0.0004		-0.0010		0.1794		-0.0601		-0.0903		-0.0000		-0.0000		10.2700		-0.0008		5.4000
1.0380		-0.0002		-0.0004		-0.0012		0.1806		-0.0601		-0.0903		-0.0000		-0.0000		10.3800		-0.0004		5.4200
1.0380		-0.0002		-0.0004		-0.0012		0.1806		-0.0601		-0.0903		-0.0000		-0.0000		10.3800		-0.0004		5.4400
1.0490		-0.0001		-0.0004		-0.0012		0.1818		-0.0601		-0.0903		-0.0000		-0.0000		10.4900		-0.0002		5.4600
1.0490		-0.0001		-0.0004		-0.0012		0.1818		-0.0601		-0.0903		-0.0000		-0.0000		10.4900		-0.0002		5.4800
1.0600		-0.0002		-0.0004		-0.0016		0.1830		-0.0601		-0.0903		-0.0000		-0.0000		10.6000		-0.0004		5.5000
1.0600		-0.0002		-0.0004		-0.0016		0.1830		-0.0601		-0.0903		-0.0000		-0.0000		10.6000		-0.0004		5.5200
1.0710		-0.0004		-0.0004		-0.0018		0.1842		-0.0601		-0.0903		-0.0000		-0.0000		10.7100		-0.0008		5.5400
1.0710		-0.0004		-0.0004		-0.0018		0.1842		-0.0601		-0.0903		-0.0000		-0.0000		10.7100		-0.0008		5.5600
1.0830		-0.0005		-0.0004		-0.0018		0.1854		-0.0601		-0.0903		-0.0000		-0.0000		10.8300		-0.0010		5.5800
1.0830		-0.0005		-0.0004		-0.0018		0.1854		-0.0601		-0.0903		-0.0000		-0.0000		10.8300		-0.0010		5.6000
1.0940		-0.0006		-0.0004		-0.0016		0.1866		-0.0601		-0.0903		-0.0000		-0.0000		10.9400		-0.0012		5.6200
1.0940		-0.0006		-0.0004		-0.0016		0.1866		-0.0601		-0.0903		-0.0000		-0.0000		10.9400		-0.0012		5.6400
1.1060		-0.0008		-0.0004		-0.0016		0.1879		-0.0601		-0.0903		-0.0000		-0.0000		11.0600		-0.0016		5.6600
1.1060		-0.0008		-0.0004		-0.0016		0.1891		-0.0601		-0.0903		-0.0000		-0.0000		11.0600		-0.0016		5.6800
1.1170		-0.0009		-0.0004		-0.0016		0.1891		-0.0601		-0.0903		-0.0000		-0.0000		11.1700		-0.0018		5.7000
1.1170		-0.0009		-0.0004		-0.0016		0.1903		-0.0601		-0.0903		-0.0000		-0.0000		11.1700		-0.0018		5.7200
1.1290		-0.0008		-0.0004		-0.0016		0.1903		-0.0601		-0.0903		-0.0000		-0.0000		11.2900		-0.0016		5.7400
1.1290		-0.0008		-0.0004		-0.0016		0.1915		-0.0601		-0.0903		-0.0000		-0.0000		11.2900		-0.0016		5.7600
1.1410		-0.0006		-0.0004		-0.0012		0.1915		-0.0601		-0.0903		-0.0000		-0.0000		11.4100		-0.0012		5.7800
1.1410		-0.0006		-0.0004		-0.0012		0.1927		-0.0601		-0.0903		-0.0000		-0.0000		11.4100		-0.0012		5.8000
1.1520		-0.0004		-0.0004		-0.0012		0.1939		-0.0601		-0.0903		-0.0000		-0.0000		11.5200		-0.0008		5.8200
1.1520		-0.0004		-0.0004		-0.0012		0.1939		-0.0601		-0.0903		-0.0000		-0.0000		11.5200		-0.0008		5.8400
1.1640		-0.0004		-0.0002		-0.0012		0.1951		-0.0601		-0.0903		-0.0000		-0.0000		11.6400		-0.0008		5.8600
1.1640		-0.0004		-0.0002		-0.0012		0.1951		-0.0601		-0.0903		-0.0000		-0.0000		11.6400		-0.0008		5.8800
1.1770		-0.0004		-0.0002		-0.0012		0.1963		-0.0601		-0.0903		-0.0000		-0.0000		11.7700		-0.0008		5.9000
1.1770		-0.0004		-0.0002		-0.0012		0.1963		-0.0601		-0.0903		-0.0000		-0.0000		11.7700		-0.0008		5.9200
1.1890		-0.0002		-0.0002		-0.0010		0.1976		-0.0702		-0.0903		-0.0000		-0.0000		11.8900		-0.0004		5.9400
1.1890		-0.0002		-0.0002		-0.0010		0.1976		-0.0702		-0.0903		-0.0000		-0.0000		11.8900		-0.0004		5.9600
1.2010		-0.0002		-0.0002		-0.0010		0.1988		-0.0702		-0.0903		-0.0000		-0.0000		12.0100		-0.0004		5.9800
1.2010		-0.0002		-0.0002		-0.0010		0.1988		-0.0702		-0.0903		-0.0000		-0.0000		12.0100		-0.0004		6.0000
1.2130		-0.0002		-0.0002		-0.0010		0.2000		-0.0702		-0.0903		-0.0000		-0.0000		12.1300		-0.0004		6.0200
1.2130		-0.0002		-0.0002		-0.0010		0.2000		-0.0702		-0.0903		-0.0000		-0.0000		12.1300		-0.0004		6.0400
1.2250		-0.0002		0.0000		-0.0010		0.2012		-0.0702		-0.0903		-0.0000		-0.0000		12.2500		-0.0004		6.0600
1.2250		-0.0002		0.0000		-0.0010		0.2024		-0.0702		-0.0903		-0.0000		-0.0000		12.2500		-0.0004		6.0800
1.2380		-0.0002		0.0000		-0.0008		0.2024		-0.0702		-0.0903		-0.0000		-0.0000		12.3800		-0.0004		6.1000
1.2380		-0.0002		0.0000		-0.0008		0.2036		-0.0702		-0.0903		-0.0000		-0.0000		12.3800		-0.0004		6.1200
1.2510		-0.0002		0.0000		-0.0008		0.2036		-0.0702		-0.0903		-0.0000		-0.0000		12.5100		-0.0004		6.1400
1.2510		-0.0002		0.0000		-0.0008		0.2048		-0.0702		-0.0903		-0.0000		-0.0000		12.5100		-0.0004		6.1600
1.2630		-0.0001		0.0000		-0.0008		0.2048		-0.0702		-0.0903		-0.0000		-0.0000		12.6300		-0.0002		6.1800
1.2630		-0.0001		0.0000		-0.0008		0.2060		-0.0702		-0.0903		-0.0000		-0.0000		12.6300		-0.0002		6.2000
1.2760		0.0000		0.0000		-0.0008		0.2060		-0.0702		-0.0903		-0.0000		-0.0000		12.7600		0.0000		6.2200
1.2760		0.0000		0.0000		-0.0008		0.2073		-0.0702		-0.0903		-0.0000		-0.0000		12.7600		0.0000		6.2400
1.2890		0.0000		0.0000		-0.0004		0.2085		-0.0702		-0.0903		-0.0000		-0.0000		12.8900		0.0000		6.2600
1.2890		0.0000		0.0000		-0.0004		0.2085		-0.0702		-0.0903		-0.0000		-0.0000		12.8900		0.0000		6.2800
1.3020		0.0000		0.0000		-0.0004		0.2097		-0.0702		-0.0903		-0.0000		-0.0000		13.0200		0.0000		6.3000
1.3020		0.0000		0.0000		-0.0004		0.2097		-0.0702		-0.1004		-0.0000		-0.0000		13.0200		0.0000		6.3200
1.3150		0.0001		0.0000		-0.0004		0.2109		-0.0702		-0.1004		-0.0000		-0.0000		13.1500		0.0002		6.3400
1.3150		0.0001		0.0000		-0.0004		0.2109		-0.0702		-0.1004		-0.0000		-0.0000		13.1500		0.0002		6.3600
1.3280		0.0001		0.0000		-0.0004		0.2121		-0.0702		-0.1004		-0.0000		-0.0000		13.2800		0.0002		6.3800
1.3280		0.0001		0.0000		-0.0004		0.2121		-0.0702		-0.1004		-0.0000		-0.0000		13.2800		0.0002		6.4000
1.3400		0.0002		0.0000		-0.0004		0.2133		-0.0702		-0.1004		-0.0000		-0.0000		13.4000		0.0004		6.4200
1.3400		0.0002		0.0000		-0.0004		0.2133		-0.0702		-0.1004		-0.0000		-0.0000		13.4000		0.0004		6.4400
1.3540		0.0003		0.0000		-0.0004		0.2145		-0.0702		-0.1004		-0.0000		-0.0000		13.5400		0.0006		6.4600
1.3540		0.0003		0.0000		-0.0004		0.2157		-0.0702		-0.1004		-0.0000		-0.0000		13.5400		0.0006		6.4800
1.3670		0.0004		0.0000		-0.0004		0.2157		-0.0702		-0.1004		-0.0000		-0.0000		13.6700		0.0008		6.5000
1.3670		0.0004		0.0000		-0.0004		0.2169		-0.0702		-0.1004		-0.0000		-0.0000		13.6700		0.0008		6.5200
1.3800		0.0004		0.0000		-0.0004		0.2169		-0.0702		-0.1004		-0.0000		-0.0000		13.8000		0.0008		6.5400
1.3800		0.0004		0.0000		-0.0004		0.2182		-0.0702		-0.1004		-0.0000		-0.0000		13.8000		0.0008		6.5600
1.3940		0.0001		0.0000		-0.0004		0.2182		-0.0702		-0.1004		-0.0000		-0.0000		13.9400		0.0002		6.5800
1.3940		0.0001		0.0000		-0.0004		0.2194		-0.0802		-0.1004		-0.0000		-0.0000		13.9400		0.0002		6.6000
1.4070		0.0000		0.0000		-0.0004		0.2194		-0.0802		-0.1004		-0.0000		-0.0000		14.0700		0.0000		6.6200
1.4070		0.0000		0.0000		-0.0004		0.2206		-0.0802		-0.1004		-0.0000		-0.0000		14.0700		0.0000		6.6400
1.4220		0.0000		0.0000		-0.0004		0.2218		-0.0802		-0.1004		-0.0000		-0.0000		14.2200		0.0000		6.6600
1.4220		0.0000		0.0000		-0.0004		0.2218		-0.0802		-0.1004		-0.0000		-0.0000		14.2200		0.0000		6.6800
1.4360		-0.0002		0.0000		-0.0004		0.2230		-0.0802		-0.1004		-0.0000		-0.0000		14.3600		-0.0004		6.7000
1.4360		-0.0002		0.0000		-0.0004		0.2230		-0.0802		-0.1004		-0.0000		-0.0000		14.3600		-0.0004		6.7200
1.4500		-0.0005		0.0000		-0.0004		0.2242		-0.0802		-0.1004		-0.0000		-0.0000		14.5000		-0.0010		6.7400
1.4500		-0.0005		0.0000		-0.0004		0.2242		-0.0802		-0.1004		-0.0000		-0.0000		14.5000		-0.0010		6.7600
1.4640		-0.0008		0.0000		-0.0004		0.2254		-0.0802		-0.1004		-0.0000		-0.0000		14.6400		-0.0016		6.7800
1.4640		-0.0008		0.0000		-0.0004		0.2254		-0.0802		-0.1004		-0.0000		-0.0000		14.6400		-0.0016		6.8000
1.4790		-0.0008		0.0000		-0.0004		0.2266		-0.0802		-0.1004		-0.0000		-0.0000		14.7900		-0.0016		6.8200
1.4790		-0.0008		0.0000		-0.0004		0.2266		-0.0802		-0.1004		-0.0000		-0.0000		14.7900		-0.0016		6.8400
1.4930		-0.0006		-0.0002		-0.0004		0.2279		-0.0802		-0.1004		-0.0000		-0.0000		14.9300		-0.0012		6.8600
1.4930		-0.0006		-0.0002		-0.0004		0.2279		-0.0802		-0.1004		-0.0000		-0.0000		14.9300		-0.0012		6.8800
1.5080		-0.0005		-0.0002		-0.0004		0.2291		-0.0802		-0.1004		-0.0000		-0.0000		15.0800		-0.0010		6.9000
1.5080		-0.0005		-0.0002		-0.0004		0.2303		-0.0802		-0.1004		-0.0000		-0.0000		15.0800		-0.0010		6.9200
1.5230		-0.0004		-0.0002		-0.0004		0.2303		-0.0802		-0.1104		-0.0000		-0.0000		15.2300		-0.0008		6.9400
1.5230		-0.0004		-0.0002		-0.0004		0.2315		-0.0802		-0.1104		-0.0000		-0.0000		15.2300		-0.0008		6.9600
1.5370		-0.0005		-0.0002		-0.0004		0.2315		-0.0802		-0.1104		-0.0000		-0.0000		15.3700		-0.0010		6.9800
1.5370		-0.0005		-0.0002		-0.0004		0.2327		-0.0802		-0.1104		-0.0000		-0.0000		15.3700		-0.0010		7.0000
1.5520		-0.0005		-0.0002		-0.0004		0.2327		-0.0802		-0.1104		-0.0000		-0.0000		15.5200		-0.0010		7.0200
1.5520		-0.0005		-0.0002		-0.0004		0.2339		-0.0802		-0.1104		-0.0000		-0.0000		15.5200		-0.0010		7.0400
1.5670		-0.0004		-0.0002		-0.0008		0.2351		-0.0802		-0.1104		-0.0000		-0.0000		15.6700		-0.0008		7.0600
1.5670		-0.0004		-0.0002		-0.0008		0.2351		-0.0802		-0.1104		-0.0000		-0.0000		15.6700		-0.0008		7.0800
1.5820		-0.0005		-0.0002		-0.0008		0.2363		-0.0802		-0.1104		-0.0000		-0.0000		15.8200		-0.0010		7.1000
1.5820		-0.0005		-0.0002		-0.0008		0.2363		-0.0802		-0.1104		-0.0000		-0.0000		15.8200		-0.0010		7.1200
1.5970		-0.0008		-0.0002		-0.0010		0.2376		-0.0802		-0.1104		-0.0000		-0.0000		15.9700		-0.0016		7.1400
1.5970		-0.0008		-0.0002		-0.0010		0.2376		-0.0802		-0.1104		-0.0000		-0.0000		15.9700		-0.0016		7.1600
1.6130		-0.0011		-0.0002		-0.0008		0.2388		-0.0802		-0.1104		-0.0000		-0.0000		16.1300		-0.0022		7.1800
1.6130		-0.0011		-0.0002		-0.0008		0.2388		-0.0802		-0.1104		-0.0000		-0.0000		16.1300		-0.0022		7.2000
1.6280		-0.0013		-0.0002		-0.0008		0.2400		-0.0802		-0.1104		-0.0000		-0.0000		16.2800		-0.0026		7.2200
1.6280		-0.0013		-0.0002		-0.0008		0.2400		-0.0802		-0.1104		-0.0000		-0.0000		16.2800		-0.0026		7.2400
1.6430		-0.0013		-0.0002		-0.0008		0.2412		-0.0802		-0.1104		-0.0000		-0.0000		16.4300		-0.0026		7.2600
1.6430		-0.0013		-0.0002		-0.0008		0.2412		-0.0802		-0.1104		-0.0000		-0.0000		16.4300		-0.0026		7.2800
1.6590		-0.0013		-0.0002		-0.0008		0.2424		-0.0802		-0.1104		-0.0000		-0.0000		16.5900		-0.0026		7.3000
1.6590		-0.0013		-0.0002		-0.0008		0.2436		-0.0902		-0.1104		-0.0000		-0.0000		16.5900		-0.0026		7.3200
1.6740		-0.0011		-0.0002		-0.0008		0.2436		-0.0902		-0.1104		-0.0000		-0.0000		16.7400		-0.0022		7.3400
1.6740		-0.0011		-0.0002		-0.0008		0.2448		-0.0902		-0.1104		-0.0000		-0.0000		16.7400		-0.0022		7.3600
1.6900		-0.0011		-0.0002		-0.0008		0.2448		-0.0902		-0.1104		-0.0000		-0.0000		16.9000		-0.0022		7.3800
1.6900		-0.0011		-0.0002		-0.0008		0.2460		-0.0902		-0.1104		-0.0000		-0.0000		16.9000		-0.0022		7.4000
1.7040		-0.0009		-0.0002		-0.0008		0.2460		-0.0902		-0.1104		-0.0000		-0.0000		17.0400		-0.0018		7.4200
